business_id,entity_id,confidence_score
54565,90040,100
54597,72850,95
54573,62113,100
54576,21969,100
54613,50438,100
57615,50438,100
54629,32252,100
64342,21019,100
54637,63811,100
54639,62088,100
55133,62088,100
54663,66731,100
57644,66731,100
54692,1551,100
54693,80220,100
56954,80220,100
54699,37731,94
54708,45947,85
54709,45947,85
60519,74088,96
54746,80710,86
71529,19193,89
54759,45946,100
54836,45946,100
54765,9772,100
54770,65978,89
58957,65978,100
58064,54801,100
54811,73468,100
54813,73468,91
54827,86206,90
54828,86206,100
54846,1575,82
81042,28919,100
54852,32019,92
54869,88812,92
54870,46549,88
57904,46549,88
54874,48730,100
55220,48730,100
54886,59779,96
54922,94265,100
54933,5328,82
54935,80398,100
55510,80398,100
54981,60286,100
74391,35689,100
78663,14610,85
78663,15456,88
78663,62111,100
78663,76809,89
78779,35689,100
82759,91447,100
83884,10881,100
85261,10881,100
55021,73648,100
55040,72086,100
55041,72086,100
55043,37643,100
55047,42426,100
55061,28331,100
57474,28331,100
55065,28922,100
55086,84818,100
55088,84818,100
55089,80436,100
55100,40810,96
58084,40810,96
55105,25731,100
55114,36335,100
57868,36335,100
55128,69803,100
55131,39931,83
55162,29484,100
58149,29484,100
55174,317,100
56689,48996,100
55200,39332,100
55229,63036,100
56528,63036,90
55233,50003,100
65841,26769,100
75995,46639,100
80195,46639,100
82215,50063,96
85269,50063,96
55276,74835,100
57529,62941,90
58460,62941,86
85409,64872,83
55298,70357,89
60127,70357,89
55317,79718,100
59439,79718,100
55340,11683,100
55343,43794,100
55372,79974,94
58456,79974,100
55381,27111,100
58284,27111,100
55382,67398,100
75031,2101,100
76087,2101,100
55397,88035,84
58593,88035,100
55402,92289,100
56420,92289,100
55406,22025,100
55414,45649,87
55416,8757,84
57198,8757,84
55421,32011,95
55426,76855,100
55436,63267,100
55444,88488,100
55641,88488,100
55450,12203,94
55454,25725,100
83922,50103,94
85274,50103,100
55466,91959,90
55481,47372,100
58602,47372,100
55488,61988,84
55497,18874,100
55500,31460,100
55503,79405,100
56375,67914,100
55534,77423,100
55535,64158,100
80557,6445,100
55563,4702,100
57262,4702,100
55571,3298,100
56613,3298,100
55574,93670,100
55595,92458,100
55600,92458,100
55592,52422,100
55620,83072,100
58773,83072,100
86683,62863,94
55631,63125,100
55651,37041,100
55653,37041,88
72241,49562,86
55694,89858,100
55701,17766,100
55721,20022,100
55724,17800,83
56183,17800,83
55815,21738,100
56179,21738,100
55822,40203,100
55825,66501,100
58145,66501,100
55838,50750,100
55849,7282,100
56508,7282,100
55852,17275,100
55854,17275,100
55882,16243,88
55884,16243,88
55910,44675,86
55931,64464,100
55933,64464,100
55939,7095,100
58542,7095,100
55948,17280,100
58207,17280,100
59333,41950,100
